State,city_name,city_type,county,percent_completed_hs,poverty_rate,Median Income,Lat,Lng
IN,Fulton,town,,93,26.4,47143,40.9472635,-86.2627772
IN,Galena,CDP,,90.1,1.1,72000,38.3517323,-85.9416354
IN,Galveston,town,,94,12.7,47593,40.5789277,-86.1902719
IN,Garrett,city,,84.9,19,41607,41.3494939,-85.1355267
IN,Gary,city,,83.9,37.1,28020,41.6020403,-87.3371523
IN,Gas City,city,,83.8,17.2,41979,40.4872625,-85.6130311
IN,Gaston,town,,90,18,40240,40.3139311,-85.5005278
IN,Geneva,town,,82.2,18,35313,40.5919904,-84.9587879
IN,Gentryville,town,,83.3,18.1,45972,38.1042183,-87.0330532
IN,Georgetown,town,,93.6,2.5,69167,38.2945115,-85.9755239
IN,Glenwood,town,,86.4,23.7,46786,39.6258806,-85.3002442
IN,Goodland,town,,86.1,18,47083,40.7633727,-87.2936327
IN,Goshen,city,,76,22.6,41117,41.5822716,-85.8344383
IN,Gosport,town,,78.8,18.5,38977,39.3508793,-86.6669472
IN,Grabill,town,,94.8,11.9,45474,41.2108829,-84.9669112
IN,Grandview,town,,84.9,30.3,36750,37.9336626,-86.9811059
IN,Granger,CDP,,96.7,4.3,92537,41.7533819,-86.1108377
IN,Greencastle,city,,87.1,12.7,45315,39.6444898,-86.8647316
IN,Greendale,city,,95.7,8.6,58281,39.1125572,-84.8641178
IN,Greenfield,city,,90.6,8.5,53459,39.785043,-85.7694226
IN,Greensboro,town,,89.4,30.2,30000,39.8786784,-85.4646306
IN,Greensburg,city,,87.3,18.9,44744,39.3372722,-85.483581
IN,Greens Fork,town,,82.1,29.9,41771,39.8925466,-85.0416304
IN,Greentown,town,,87.4,19.2,43011,40.478094,-85.9666534
IN,Greenville,town,,94.6,8.4,59545,38.3725644,-85.9863593
IN,Greenwood,city,,91.5,13.7,54176,39.6136578,-86.1066526
IN,Griffin,town,,82.7,15.9,42500,38.2042126,-87.9147526
IN,Griffith,town,,92.1,10.8,55490,41.5283693,-87.4236497
IN,Grissom AFB,CDP,,79.5,26.3,40746,40.661823,-86.1446493
IN,Hagerstown,town,,92.5,12.4,43424,39.9111576,-85.1616315
IN,Hamilton,town,,87.7,11.5,48558,41.5336616,-84.9127396
IN,Hamlet,town,,80.3,17.2,47308,41.3781614,-86.5829699
IN,Hammond,city,,79.5,24.9,39576,41.5833688,-87.5000412
IN,Hanna,CDP,,99.6,6.1,59722,41.4123401,-86.7811859
IN,Hanover,town,,83.7,24.8,40758,38.7142263,-85.4735707
IN,Hardinsburg,town,,85.2,24.9,40000,38.4608925,-86.2785922
IN,Harlan,CDP,,79.3,4.4,64188,41.1959983,-84.9196818
IN,Harmony,town,,89.4,6.8,41853,39.5349663,-87.069919
IN,Harrodsburg,CDP,,83.9,23.4,51964,39.0134996,-86.5449898
IN,Hartford City,city,,83.6,16,37934,40.451154,-85.369972
IN,Hartsville,town,,91.8,9,43594,39.2675511,-85.6980357
IN,Hatfield,CDP,,88.2,8.5,50563,37.9025469,-87.2241684
IN,Haubstadt,town,,93.7,7.3,62000,38.2050442,-87.5741876
IN,Hayden,CDP,,98,12.8,53889,38.9831093,-85.7405275
IN,Hazleton,town,,89.8,11,45769,38.4889362,-87.5416891
IN,Hebron,town,,86.7,15.5,47880,41.3186482,-87.2003091
IN,Henryville,CDP,,76.6,14.9,55962,38.5417282,-85.7677438
IN,Herbst,CDP,,100,0,,40.5147609,-85.7872031
IN,Heritage Lake,CDP,,95.7,11.1,62188,39.7203705,-86.7202598
IN,Hidden Valley,CDP,,96.2,3.8,80667,39.1622786,-84.8430067
IN,Highland,town,,92.4,7.5,61806,41.5536468,-87.451984
IN,Highland,CDP,,97.5,2.2,66188,41.5536468,-87.451984
IN,Hillsboro,town,,91.4,19.9,35096,40.108371,-87.1589894
IN,Hoagland,CDP,,91.7,6.8,42500,40.9481798,-84.9915183
IN,Hobart,city,,88.4,10.1,58246,41.5322592,-87.2550353
IN,Holland,town,,90.7,24,43594,38.2456081,-87.0361099
IN,Holton,town,,76.1,27.5,36786,39.0750538,-85.387185
IN,Homecroft,town,,95,7.7,73750,39.6700453,-86.1313751
IN,Hope,town,,92,13,41779,39.3039397,-85.7713722
IN,Howe,CDP,,66.4,59.1,33378,41.7216519,-85.4210994
IN,Hudson,town,,89.2,21.8,43214,41.5328281,-85.0810793
IN,Hudson Lake,CDP,,87.9,26.1,46905,41.7103228,-86.5341854
IN,Huntertown,town,,96.4,4.8,70236,41.228382,-85.1724726
IN,Huntingburg,city,,74.6,22.2,41578,38.2989422,-86.9549971
IN,Huntington,city,,86,17.9,38018,40.8831011,-85.497476
IN,Hymera,town,,80.8,21.1,37386,39.1864304,-87.3016832
IN,Idaville,CDP,,92.5,5.5,56071,40.7569838,-86.6494531
IN,Indianapolis,city,,84.9,21.3,41987,39.768403,-86.158068
IN,Indian Village,town,,87.8,12.7,60000,41.713937,-86.2355621
IN,Ingalls,town,,86.4,11.6,49653,39.9569851,-85.8052565
IN,Jalapa,CDP,,89.3,0,76500,40.626091,-85.745789
IN,Jamestown,town,,91.4,14,53125,39.9267106,-86.6288926
IN,Jasonville,city,,80.3,28.4,29109,39.163098,-87.1991807
IN,Jasper,city,,88.2,9.4,53044,38.3914418,-86.9311094
IN,Jeffersonville,city,,88.6,11.2,50990,38.2775702,-85.7371847
IN,Jonesboro,city,,80.3,22.2,32857,40.4797623,-85.6277537
IN,Jonesville,town,,87.6,18.4,52500,39.0606081,-85.8897032
IN,Kempton,town,,77.3,10.1,47292,40.2883702,-86.2297169
IN,Kendallville,city,,88.8,21.3,39799,41.4414384,-85.2649754
IN,Kennard,town,,80.8,24.6,36563,39.9039343,-85.519419
IN,Kent,CDP,,100,0,,38.7378039,-85.537857
IN,Kentland,town,,87.6,16.9,42286,40.7703153,-87.4453033
IN,Kewanna,town,,76.8,27.1,30391,41.0186526,-86.413337
IN,Kimmell,CDP,,82.7,1.5,43750,41.395326,-85.5483164
IN,Kingman,town,,77.8,17.8,41806,39.9675404,-87.2775116
IN,Kingsbury,town,,88.8,2.6,67813,41.5275433,-86.7000204
IN,Kingsford Heights,town,,73.2,22.7,35417,41.4805988,-86.6916859
IN,Kirklin,town,,82.3,19.6,43393,40.1933707,-86.3605539
IN,Knightstown,town,,91.9,17.6,36920,39.7956007,-85.5263629
IN,Knightsville,town,,87.2,4.4,52083,39.5257727,-87.0892659
IN,Knox,city,,75.1,20.9,33125,41.2958751,-86.6250139
IN,Kokomo,city,,86.3,21.3,37623,40.486427,-86.1336033
IN,Koontz Lake,CDP,,81.3,11.3,49083,41.4180996,-86.4858451
IN,Kouts,town,,91.5,4.7,59444,41.3167058,-87.0258594
IN,Laconia,town,,86.2,19.5,68286,38.031738,-86.0855232
IN,La Crosse,town,,91,8.8,45625,41.3175401,-86.891411
IN,Ladoga,town,,91.3,16.7,49583,39.9136554,-86.8011182
IN,Lafayette,city,,85.6,19.8,40419,40.4167022,-86.8752869
IN,La Fontaine,town,,84.2,16.5,40089,40.6739309,-85.7213697
IN,Lagrange,town,,80.2,18.1,40833,41.641717,-85.4166467
IN,Lagro,town,,79.4,32.9,30000,40.8380995,-85.7302608
IN,Lake Dalecarlia,CDP,,98.6,3.9,57212,41.3308691,-87.3947572
IN,Lake Holiday,CDP,,97.6,7.3,73152,41.1456192,-87.2715091
IN,Lake Santee,CDP,,93.5,0,91577,39.4029582,-85.3052201
IN,Lakes of the Four Seasons,CDP,,94.8,3.2,91472,41.4103151,-87.2130884
IN,Lake Station,city,,78.5,26.1,39309,41.5750369,-87.2389246
IN,Laketon,CDP,,78,37.6,35357,40.9793267,-85.8389649
IN,Lake Village,CDP,,89.4,4.2,38417,41.1375346,-87.4486437
IN,Lakeville,town,,86.7,27.8,40625,41.5244919,-86.2733398
IN,Landess,CDP,,96.3,2.7,,40.6108758,-85.5610863
IN,Lanesville,town,,97.9,7.3,48672,38.2370131,-85.9858008
IN,La Paz,town,,79.9,13.6,45500,41.4597685,-86.3083403
IN,Lapel,town,,95.8,11,44028,40.0683725,-85.8483132
IN,La Porte,city,,84.4,21.7,34900,41.611143,-86.7227195
IN,Larwill,town,,85.6,23.7,34375,41.1806012,-85.6255391
IN,Laurel,town,,56.8,54,21818,39.5008825,-85.1863522
IN,Lawrence,city,,86.1,18.8,48731,39.8386516,-86.0252612
IN,Lawrenceburg,city,,80.5,15.4,38428,39.090891,-84.8499504
IN,Leavenworth,town,,78.6,23.2,37708,38.1997869,-86.3441439
IN,Lebanon,city,,86.6,10,45424,40.0483744,-86.4691677
IN,Leesburg,town,,90.7,14.8,52000,41.3319904,-85.8499921
IN,Leo-Cedarville,town,,95.1,2.8,76538,41.2125494,-85.0166351
IN,Lewisville,town,,86.4,21.6,34063,39.8067126,-85.3527468
IN,Liberty,town,,85.5,16,38173,39.6356048,-84.931071
IN,Ligonier,city,,53.9,15.7,38953,41.4658824,-85.5874848
IN,Linden,town,,84,15.2,46250,40.1880944,-86.9038959
IN,Linton,city,,81.4,18,36433,39.0347666,-87.1658458
IN,Little York,town,,77.8,20.1,44063,38.702835,-85.9049725
IN,Livonia,town,,85.7,5.3,46250,38.5570015,-86.2774826
IN,Lizton,town,,89.7,14.1,49375,39.8867109,-86.5433345
IN,Logansport,city,,72.2,21.5,32982,40.7544843,-86.3566659
IN,Long Beach,town,,98.2,1.4,77250,41.7389287,-86.8569736
IN,Loogootee,city,,83.3,20,39070,38.6769945,-86.9141695
IN,Losantville,town,,68,12.1,30938,40.024213,-85.1827432
IN,Lowell,town,,90.6,7.3,62403,41.2914243,-87.4205903
IN,Lynn,town,,86.8,18.8,37031,40.0497686,-84.9396854
IN,Lynnville,town,,92.1,7.2,57639,38.196159,-87.2966754
IN,Lyons,town,,77.2,20,43274,38.9892123,-87.0822322
IN,McCordsville,town,,99.2,1.3,83479,39.8942911,-85.9197838
IN,Mackey,town,,83.6,42.4,31750,38.2522689,-87.3916808
IN,Macy,town,,81.7,15.2,35833,40.959209,-86.1272184
IN,Madison,city,,86.9,15.5,46153,38.7358933,-85.3799577
IN,Manilla,CDP,,86.9,27.1,78214,39.5742138,-85.6194194
IN,Marengo,town,,73.7,39.1,23929,38.3692276,-86.3435917
IN,Marion,city,,81.7,25.7,32716,40.5583739,-85.6591442
IN,Markle,town,,95.1,8.7,48409,40.8292133,-85.3355282
IN,Markleville,town,,91.9,8,46875,39.9778218,-85.6146982
IN,Marshall,town,,95.1,16.9,41607,39.8480969,-87.1877901
IN,Martinsville,city,,82.9,24.9,36403,39.4278253,-86.4283279
IN,Matthews,town,,78.3,18.9,33125,40.3886531,-85.4994167
IN,Mauckport,town,,82.4,6.8,33393,38.0247916,-86.2019156
IN,Mecca,town,,73.5,29.9,35000,21.3890824,39.8579118
IN,Medaryville,town,,70,22.2,33214,41.080595,-86.8919629
IN,Medora,town,,81.3,25.6,28333,38.8250535,-86.1699827
IN,Mellott,town,,78.6,20.7,28333,40.1653169,-87.1477865
IN,Melody Hill,CDP,,96,3.9,75436,38.0261534,-87.5158479
IN,Memphis,CDP,,92.6,13.7,49243,38.4833963,-85.7616319
IN,Mentone,town,,83.9,11.9,43482,41.1733771,-86.0347186
IN,Meridian Hills,town,,99,5.7,119830,39.8900403,-86.1572104
IN,Merom,town,,87.5,26.1,30000,39.0564308,-87.5675234
IN,Merrillville,town,,91.2,13.9,52810,41.4828144,-87.3328139
IN,Metamora,CDP,,44,0,23750,39.4466872,-85.1271907
IN,Mexico,CDP,,88,0,49397,40.8222638,-86.1155497
IN,Michiana Shores,town,,94.6,9,76875,41.7558737,-86.816695
IN,Michigan City,city,,84.3,27.8,35503,41.7075394,-86.8950297
IN,Michigantown,town,,90,5.3,50833,40.3264255,-86.3927764
IN,Middlebury,town,,86.1,9.8,57091,41.675328,-85.7061011
IN,Middletown,town,,87.6,23.3,37238,40.0572668,-85.537197
IN,Mier,CDP,,100,0,60500,40.5753176,-85.8255386
IN,Milan,town,,82.3,8.9,49737,39.1211656,-85.1313464
IN,Milford,town,,79.1,21.6,38598,41.4097696,-85.8455482
IN,Millersburg,town,,76.2,9.4,45789,41.5278273,-85.6944329
IN,Millhousen,town,,96.3,1.9,73438,39.2106073,-85.432467
IN,Milltown,town,,78.5,11.9,30586,38.3422849,-86.2760893
IN,Milroy,CDP,,62,34,39406,39.4977842,-85.4681728
IN,Milton,town,,82.1,31.7,45000,39.7881021,-85.1552424
IN,Mishawaka,city,,86.1,19.3,38143,41.6619927,-86.1586156
IN,Mitchell,city,,80.5,14.7,34576,38.7328304,-86.4736019
IN,Modoc,town,,79.7,16.5,40833,40.0453238,-85.1263542
IN,Monon,town,,74.5,31.1,35542,40.8678171,-86.8789044
IN,Monroe,town,,90.4,3.3,48750,40.7450468,-84.9369111
IN,Monroe City,town,,94.4,7,61364,38.6153256,-87.3544609
IN,Monroeville,town,,88.7,12,42632,40.9747705,-84.8682972
IN,Monrovia,town,,88.8,11.7,59750,39.5789357,-86.4822187
IN,Monterey,town,,88.5,3.9,50938,41.1569862,-86.4827853
IN,Montezuma,town,,80.1,30.4,36136,39.7928162,-87.3708496
IN,Montgomery,town,,84,12.8,41250,38.6625493,-87.0461181
IN,Monticello,city,,85.9,12.2,36330,40.7453169,-86.7647343
IN,Montmorenci,CDP,,81.9,0,85179,40.472591,-87.028317
IN,Montpelier,city,,81.9,17.6,33447,40.5539337,-85.277472
IN,Mooreland,town,,87.6,25.7,32250,39.9975468,-85.2510765
IN,Moores Hill,town,,75.4,28.3,42875,39.1133882,-85.0880122
IN,Mooresville,town,,90.1,12.4,51008,39.6128243,-86.37416
IN,Morgantown,town,,84.6,11.8,37009,39.3714371,-86.2611016
IN,Morocco,town,,81,14.6,43359,40.9461457,-87.4533626
IN,Morristown,town,,84.7,11.2,46875,39.6733785,-85.6985882
IN,Mount Auburn,town,,90,14.2,42500,39.8128242,-85.1896872
IN,Mount Ayr,town,,71,6.3,35625,40.9519807,-87.299193
IN,Mount Carmel,town,,61.8,32.8,36042,39.4072748,-84.8732888
IN,Mount Etna,town,,90.9,1,44000,37.751005,14.9934349
IN,Mount Summit,town,,86.5,13.5,50625,40.0044908,-85.3846928
IN,Mount Vernon,city,,89.8,18,46422,37.9322662,-87.8950267
IN,Mulberry,town,,81.9,11.1,47500,40.3444804,-86.6652821
IN,Muncie,city,,86.4,32.2,31044,40.1933767,-85.3863599
IN,Munster,town,,93.7,8.6,70503,41.5644798,-87.5125412
IN,Napoleon,town,,82.7,15.3,37500,39.2047742,-85.330797
IN,Nappanee,city,,82.2,10.9,48918,41.4428253,-86.0013875
IN,Nashville,town,,85.8,21.8,39280,39.2072501,-86.2469535
IN,New Albany,city,,84.6,21.6,40413,38.2856247,-85.8241312
IN,New Amsterdam,town,,91.7,0,83750,38.1022893,-86.2749742
IN,Newberry,town,,84.2,13.7,43750,38.9250467,-87.0194525
IN,Newburgh,town,,94.9,8.3,50089,37.9444882,-87.4052865
IN,New Carlisle,town,,91.6,8.4,53684,41.7003231,-86.509462
IN,New Castle,city,,82.8,23.8,32840,39.928935,-85.3702476
IN,New Chicago,town,,77.3,22.3,38879,41.5583701,-87.2744806
IN,New Goshen,CDP,,94,0,65897,39.5811657,-87.46231
IN,New Harmony,town,,85.6,7.4,48036,38.1297678,-87.9350299
IN,New Haven,city,,87.8,16.1,46560,41.0706042,-85.0144124
IN,New Market,town,,92.9,7.5,56250,39.952544,-86.921397
IN,New Middletown,town,,89.5,33.3,61250,38.1639583,-86.0508016
IN,New Palestine,town,,95.6,6.9,65947,39.7219882,-85.8891471
IN,New Paris,CDP,,90.4,8.9,36567,41.5033572,-85.8307059
IN,New Pekin,town,,72.5,28,32283,38.50506,-86.016919
IN,New Point,town,,83.7,7.6,41389,39.3097729,-85.3291316
IN,Newport,town,,87.5,4.5,47625,39.8842049,-87.408627
IN,New Richmond,town,,87.1,7.3,51250,40.1963448,-86.9790483
IN,New Ross,town,,82.7,21.6,52083,39.9647658,-86.71445
IN,New Salisbury,CDP,,100,10.9,49667,38.3136764,-86.0949722
IN,Newtown,town,,92.6,12.1,58125,40.2042051,-87.1477863
IN,New Trenton,CDP,,81.4,7.3,57944,39.3101636,-84.9010959
IN,New Washington,CDP,,100,10.6,70227,38.5631176,-85.5396829
IN,New Whiteland,town,,94.8,6,53844,39.5581038,-86.0952638
IN,Noblesville,city,,94.4,6.9,69841,40.0455917,-86.0085955
IN,North Crows Nest,town,,97,13,"250,000+",39.8659292,-86.1618228
IN,North Judson,town,,85.4,21,37202,41.2150403,-86.7758501
IN,North Liberty,town,,88.2,25.1,38333,41.5342125,-86.427234
IN,North Manchester,town,,90,15.1,42281,41.0006005,-85.768597
IN,North Salem,town,,84.1,8.5,41818,39.859767,-86.6425036
IN,North Terre Haute,CDP,,88.3,13.1,45085,39.5278148,-87.360297
IN,North Vernon,city,,82.6,24.4,38725,39.006165,-85.6235796
IN,North Webster,town,,85.5,13.7,40352,41.325602,-85.6977648
IN,Norway,CDP,,82.3,5.4,48233,60.472024,8.468946
IN,Notre Dame,CDP,,98.5,80.1,,41.7001908,-86.2379328
IN,Oakland City,city,,78.9,14,35125,38.3386591,-87.3450132
IN,Oaktown,town,,89,17.5,37574,38.8711562,-87.4414083
IN,Odon,town,,87.7,18.4,30714,38.8428256,-86.9913959
IN,Ogden Dunes,town,,99.3,3.8,101250,41.6228148,-87.1917022
IN,Oldenburg,town,,92.9,21.4,58906,39.339773,-85.2044063
IN,Onward,town,,92.6,21.8,27639,40.6947621,-86.1949946
IN,Oolitic,town,,82.8,22.1,45921,38.9008832,-86.5252721
IN,Orestes,town,,84.9,23,42344,40.2694844,-85.7280325
IN,Orland,town,,86.6,10.3,42188,41.7306059,-85.1716376
IN,Orleans,town,,76.8,24.4,33051,38.6617205,-86.4516557
IN,Osceola,town,,85.9,5.3,59832,41.6650487,-86.075836
IN,Osgood,town,,77.4,10.2,41010,39.1292199,-85.2916279
IN,Ossian,town,,92.2,13.9,52857,40.880603,-85.1663593
IN,Otterbein,town,,85.5,19.7,43594,40.4905905,-87.0964025
IN,Otwell,CDP,,70.1,10.6,,38.4547728,-87.0922277
IN,Owensburg,CDP,,88.6,16.6,,38.9236283,-86.7294708
IN,Owensville,town,,89.2,9.5,40129,38.2719894,-87.6878036
IN,Oxford,town,,84.1,10.9,45682,40.5197588,-87.2477925
IN,Painted Hills,CDP,,97.4,4.7,52313,44.6615223,-120.2730726
IN,Palmyra,town,,92.7,16.4,42381,38.40784,-86.1099749
IN,Paoli,town,,81,19.6,31971,38.5561663,-86.468321
IN,Paragon,town,,78.3,31,35625,39.3950468,-86.562499
IN,Parker City,town,,85,18.3,38589,40.1889327,-85.2041349
IN,Parkers Settlement,CDP,,91.7,0.8,63958,38.0467095,-87.7161333
IN,Patoka,town,,87.8,16,39714,38.4069908,-87.5855787
IN,Patriot,town,,74.3,23.3,41250,38.8386738,-84.8268925
IN,Pendleton,town,,92.5,6.7,54198,39.9975414,-85.7466439
IN,Pennville,town,,82.4,18.9,36719,40.4939337,-85.148304
IN,Perrysville,town,,93.6,14.8,39706,40.0514269,-87.4333482
IN,Peru,city,,82.4,21.4,33107,40.7536528,-86.0688811
IN,Petersburg,city,,81.7,14.7,35918,38.4919935,-87.2786244
IN,Pierceton,town,,83.5,18.1,46875,41.2003229,-85.7055417
IN,Pine Village,town,,89.7,9.3,36500,40.4502732,-87.2543327
IN,Pittsboro,town,,92.5,5.2,78047,39.8639329,-86.4669429
IN,Plainfield,town,,91.4,8.9,59951,39.7042123,-86.3994387
IN,Plainville,town,,79.3,13.9,39226,38.8061583,-87.1522338
IN,Plymouth,city,,79.1,23.8,34478,41.3436554,-86.3097278
IN,Point Isabel,CDP,,100,0,69271,40.421667,-85.824444
IN,Poneto,town,,89.6,17.4,45625,40.656703,-85.2214259
IN,Portage,city,,88.2,16.3,53730,41.5758707,-87.1761455
IN,Porter,town,,90.6,13,76053,41.6155937,-87.0741995
IN,Portland,city,,81.6,15.6,34375,40.4344895,-84.9777455
IN,Poseyville,town,,88,13.8,45750,38.1700444,-87.7830825
IN,Pottawattamie Park,town,,94.8,10.2,87188,41.7225398,-86.8669736
IN,Princes Lakes,town,,90.8,7.5,67500,39.353661,-86.0980473
IN,Princeton,city,,86.8,14.8,40488,38.3553236,-87.5675222
IN,Raglesville,CDP,,0,0,-,38.8033817,-86.9613947
IN,Ragsdale,CDP,,91.6,8.3,83203,38.7458805,-87.3250161
IN,Redkey,town,,90.9,22.5,35417,40.3489327,-85.1499696
IN,Remington,town,,83.3,15.5,47635,40.7608729,-87.1508522
IN,Rensselaer,city,,83.2,16.9,43560,40.9367045,-87.1508562
IN,Reynolds,town,,86.9,6.2,50167,40.7494834,-86.8716807
IN,Richland,town,,90.8,5.4,50938,37.9452505,-87.168522
IN,Richmond,city,,80.6,27.3,30357,39.8289369,-84.8902382
IN,Ridgeville,town,,80.8,16.2,38594,40.2892107,-85.028857
IN,Riley,town,,91.1,6.4,43333,39.390039,-87.3000177
IN,Rising Sun,city,,84.9,12.3,37596,38.9495047,-84.853838
IN,River Forest,town,,100,0,,40.1112311,-85.7298055
IN,Roachdale,town,,83.6,23.3,40395,39.8489339,-86.8022295
IN,Roann,town,,82.8,31.3,40156,40.9117101,-85.9244344
IN,Roanoke,town,,96.5,7,65694,40.9625467,-85.3733078
IN,Rochester,city,,86,18.7,36692,41.0647645,-86.2158331
IN,Rockport,city,,80.9,25.7,29716,37.8831055,-87.0494408
IN,Rockville,town,,89.4,24.3,26035,39.7625404,-87.2291809
IN,Rocky Ripple,town,,94.8,17,50417,39.848097,-86.1724881
IN,Rolling Prairie,CDP,,100,26.8,81250,41.6708771,-86.6158538
IN,Rome City,town,,86.2,16.1,47917,41.4961609,-85.3766454
IN,Rosedale,town,,96.1,22.8,32938,39.6228165,-87.28335
IN,Roseland,town,,90.5,23.3,36375,41.7161591,-86.2525069
IN,Roselawn,CDP,,85.8,8.8,51490,41.1587014,-87.2916713
IN,Rossville,town,,88.6,14.8,48580,40.4169804,-86.5947239
IN,Royal Center,town,,88.6,26.2,39500,40.8644849,-86.4997266
IN,Rushville,city,,81.4,22.3,34942,39.6092137,-85.4463594
IN,Russellville,town,,84.6,23.2,33958,39.8583776,-86.9838988
IN,Russiaville,town,,93.8,10.6,51034,40.4175374,-86.2713849
IN,St. Bernice,CDP,,91.3,12.7,42337,39.7092027,-87.5214094
IN,St. Joe,town,,84.4,18.8,44375,41.315346,-84.9028
IN,St. John,town,,97.1,2.9,95777,41.4500356,-87.4700381
IN,St. Leon,town,,91.8,3.3,54375,39.2919974,-84.9580121
IN,St. Mary of the Woods,CDP,,89.1,19.6,19375,39.5107254,-87.4669729
IN,St. Meinrad,CDP,,92.3,24.9,53472,38.1710794,-86.8091951
IN,St. Paul,town,,85.5,19.2,40294,39.4281048,-85.6283088
IN,Salamonia,town,,79.8,31.5,30000,40.3819901,-84.8652423
IN,Salem,city,,82.4,22.2,31980,38.6056131,-86.101089
IN,Salt Creek Commons,CDP,,91.4,7.5,62644,41.5101159,-87.1466553
IN,Saltillo,town,,62,38,,38.665055,-86.289151
IN,Sandborn,town,,82.4,6,41563,38.8964349,-87.1866794
IN,San Pierre,CDP,,100,0,40500,41.1986259,-86.8940195
IN,Santa Claus,town,,95.9,3,71979,38.1200538,-86.9141607
IN,Saratoga,town,,72.3,15.7,25893,40.2369894,-84.9182986
IN,Schererville,town,,92.7,5.9,65661,41.4789246,-87.4547605
IN,Schneider,town,,87,17.6,39583,41.1869793,-87.4483666
IN,Scipio,CDP,,84.1,0,,39.078988,-85.7188168
IN,Scotland,CDP,,83.8,0,,56.4906712,-4.2026458
IN,Scottsburg,city,,84.1,26.5,41007,38.685614,-85.7702451
IN,Seelyville,town,,91.3,21.8,39667,39.4919826,-87.2672399
IN,Sellersburg,town,,91.5,8.2,63611,38.3981216,-85.754964
IN,Selma,town,,91.3,12.3,40096,40.1917102,-85.2688579
IN,Seymour,city,,85.4,17.1,44310,38.9592201,-85.8902547
IN,Shadeland,town,,93.1,4.4,66179,40.373647,-86.9488985
IN,Shamrock Lakes,town,,95.8,6.5,73750,40.4111536,-85.4263609
IN,Sharpsville,town,,90.2,8.9,55341,40.3794822,-86.0886009
IN,Shelburn,town,,76.2,27.2,32400,39.1783743,-87.3936302
IN,Shelby,CDP,,80.5,12.9,,41.1953592,-87.3479261
IN,Shelbyville,city,,83.4,16.9,43395,39.5214373,-85.7769238
IN,Shepardsville,CDP,,90.7,1.6,95313,39.6007437,-87.4192964
IN,Sheridan,town,,87.6,17.6,42935,40.1350375,-86.2205487
IN,Shipshewana,town,,72.3,12.8,40083,41.6728282,-85.5802634
IN,Shirley,town,,83.5,16.4,35446,39.891989,-85.5769197
IN,Shoals,town,,76.5,16.4,29250,38.6664401,-86.7911096
IN,Shorewood Forest,CDP,,96.8,3.2,107557,41.4621791,-87.1448096
IN,Sidney,town,,63.2,4.9,51667,41.1056005,-85.7435973
IN,Silver Lake,town,,84.5,19.5,40000,41.0722663,-85.8916574
IN,Simonton Lake,CDP,,87.9,15.6,56353,41.7542159,-85.9750012
IN,Sims,CDP,,100,24.7,,40.4997607,-85.8552609
IN,Smithville-Sanders,CDP,,93.6,3.5,66851,39.0710919,-86.5078921
IN,Somerset,CDP,,98.9,8.8,68750,40.6692082,-85.8283175
IN,Somerville,town,,86.3,5.7,32500,38.2764359,-87.3777916
IN,South Bend,city,,83.5,28.3,34523,41.6763545,-86.2519898
IN,South Haven,CDP,,86.9,14.6,51310,41.5419825,-87.1372552
IN,Southport,city,,88.9,11.8,54828,39.6618814,-86.1166506
IN,South Whitley,town,,91.1,12.3,43438,41.0847677,-85.6280381
IN,Speedway,town,,86.9,19.9,37861,39.792738,-86.250822
IN,Spencer,town,,81.1,21,29926,39.2867117,-86.7625058
IN,Spiceland,town,,94.5,14.2,39808,39.838379,-85.4388608
IN,Spring Grove,town,,80.2,10.6,61406,39.8483812,-84.8941274
IN,Spring Hill,town,,96.5,0,96250,39.8354478,-86.1917035
IN,Spring Lake,town,,96.9,3.9,64375,40.1534476,-74.0281925
IN,Springport,town,,91.1,18.6,37500,40.0475457,-85.3941377
IN,Spurgeon,town,,91.7,8.2,40833,38.2522716,-87.2572298
IN,Star City,CDP,,100,0,28125,40.9719853,-86.5561179
IN,State Line City,town,,84.1,4.8,48750,40.1972073,-87.5270582
IN,Staunton,town,,88.8,10.1,43594,39.4875396,-87.1889053
IN,Stilesville,town,,89.3,10.7,33750,39.6383798,-86.6336135
IN,Stinesville,town,,72,20.8,22917,39.2986569,-86.6522243
IN,Stockwell,CDP,,97.7,0,60459,40.2861763,-86.7710633
IN,Straughn,town,,86,36,33333,39.8089351,-85.2913559
IN,Sullivan,city,,85.8,30.6,27083,39.0953199,-87.4058525
IN,Sulphur Springs,town,,95.7,14.4,39107,40.0047684,-85.4427506
IN,Summitville,town,,86.5,13.4,40594,40.3386516,-85.6444199
IN,Sunman,town,,83.8,20.2,36774,39.2369971,-85.0946809
IN,Swayzee,town,,93.1,12.4,50700,40.5083719,-85.8255378
IN,Sweetser,town,,94.8,12.4,53485,40.5719842,-85.7691477
IN,Switz City,town,,84.5,35.1,25833,39.0349999,-87.053
IN,Syracuse,town,,80.4,14.2,45518,41.4278257,-85.7524895
IN,Taylorsville,CDP,,92.4,4.2,65469,39.2958844,-85.9508264
IN,Tecumseh,CDP,,98.7,6.9,66216,39.563092,-87.4216866
IN,Tell City,city,,87.8,16.6,41900,37.9514447,-86.7677663
IN,Tennyson,town,,72,24.1,35833,38.082272,-87.1183336
IN,Terre Haute,city,,84.4,27.4,31817,39.4667034,-87.4139092
IN,Thorntown,town,,85.7,14,47596,40.1294838,-86.6066706
IN,Tipton,city,,84.3,13.7,39099,40.2822598,-86.041098
